interest_rate,fico_range,amount_requested,amount_funded_by_investors,loan_length
18.75,670-674,4800,4800,36
13.11,700-704,6400,6400,36
7.9,705-709,5000,5000,36
6.62,740-744,12000,12000,36
21.48,690-694,23850,23820.25,60
10.65,720-724,15000,15000,36
7.62,765-769,8000,8000,36
6.03,715-719,20000,20000,36
13.11,710-714,20000,19975,36
14.09,690-694,10000,10000,36
14.09,710-714,18825,18825,36
7.9,775-779,35000,34975,36
6.03,815-819,9000,9000,36
6.17,745-749,4000,4000,36
13.99,660-664,5750,5750,36
15.8,690-694,20950,20950,36
10.99,710-714,8000,8000,36
10.16,725-729,10000,10000,36
14.09,675-679,10000,10000,36
6.03,765-769,14000,14000,36
7.66,735-739,5000,5000,36
19.05,700-704,25000,25000,60
8.9,735-739,35000,35000,36
11.14,690-694,7200,7175,36
8.49,760-764,14000,14000,60
15.21,680-684,15000,14975,36
19.72,695-699,25000,25000,60
14.65,675-679,10800,10800,36
14.33,700-704,20000,20000,36
10.74,695-699,4000,4000,36
15.7,675-679,16000,15950,36
9.76,730-734,1400,1400,36
16.32,665-669,7500,7500,36
14.07,675-679,24625,917.28,36
14.09,680-684,5000,5000,36
9.91,725-729,25000,24975,36
16.4,660-664,7500,7500,36
6.62,805-809,34500,34450,36
5.79,745-749,10000,10000,36
9.88,740-744,3200,3200,36
15.99,700-704,5500,5500,60
9.76,720-724,3000,3000,36
23.28,660-664,18000,18000,60
9.63,735-739,10000,9700,36
13.11,700-704,8800,8800,36
11.14,705-709,7000,7000,36
13.11,725-729,8000,8000,36
17.27,660-664,3000,3000,36
7.51,735-739,12000,11975,36
14.11,725-729,3600,3575,36
14.33,705-709,11625,11625,36
21.49,670-674,30000,30000,36
8.9,720-724,16000,16000,36
10.75,715-719,10800,10700,36
16.69,705-709,25000,23655.48,60
13.98,710-714,10000,10000,60
10.91,690-694,12375,275,36
11.48,705-709,6000,6000,36
13.49,685-689,8000,8000,36
18.25,660-664,15000,15000,36
17.77,665-669,7000,7000,36
6.92,745-749,8400,8400,36
7.9,740-744,15000,15000,36
14.33,665-669,15000,14925,36
10.16,695-699,2800,2800,36
16.29,680-684,7750,7750,36
8.9,700-704,4500,4500,36
12.53,715-719,17500,17375,36
15.31,710-714,18000,18000,60
15.27,720-724,15000,14975,60
15.23,665-669,6000,6000,36
11.14,700-704,11500,11475,36
13.11,685-689,10000,10000,36
8.9,725-729,12000,12000,36
12.12,685-689,10000,10000,36
21.28,680-684,35000,34975,60
10.38,750-754,7200,7100,60
7.9,800-804,4000,3975,60
11.14,740-744,5300,5200,36
7.62,730-734,1200,1200,36
11.14,720-724,2500,2500,36
14.33,700-704,17000,16975,36
7.9,695-699,16000,16000,36
12.69,695-699,10000,9950,36
10.16,700-704,5000,5000,36
19.05,670-674,4375,4375,36
6.03,745-749,8500,8475,36
16.89,675-679,12000,12000,60
8.59,740-744,6200,6100,36
18.49,660-664,7000,7000,36
12.69,730-734,20800,20800,60
13.11,745-749,19200,19200,60
15.8,700-704,22000,22000,60
19.05,675-679,15000,15000,36
19.47,665-669,7000,6965.1,36
8.9,730-734,20000,20000,36
6.17,745-749,2000,2000,36
10.59,755-759,18000,17738.58,60
11.48,790-794,20800,20775,36
7.88,725-729,9000,8875,36
14.09,670-674,6000,6000,36
15.8,665-669,5000,5000,36
14.83,685-689,12000,11975,60
8,750-754,7000,1998,36
10,715-719,6000,5950,36
13.98,700-704,17000,16975,36
8.94,750-754,12000,11975,36
7.9,730-734,16350,16350,36
7.9,755-759,20000,20000,36
12.12,690-694,12300,12300,36
13.11,690-694,4800,4800,36
7.9,735-739,14500,14500,36
8.9,700-704,4200,4200,36
14.09,690-694,22250,22250,36
14.09,675-679,8000,8000,36
17.77,665-669,8325,8325,36
13.11,730-734,14000,14000,36
10.16,705-709,9000,9000,36
13.11,680-684,16000,16000,36
11.14,760-764,15200,13694.22,36
10.65,725-729,24000,24000,36
15.31,685-689,16450,16450,36
12.12,710-714,7500,7500,36
22.47,665-669,4750,4750,36
7.9,720-724,6500,6500,36
18.67,660-664,5500,5450,60
6.03,750-754,9600,9600,36
12.12,710-714,12000,11975,36
7.51,730-734,2000,2000,36
24.89,665-669,18000,18000,60
12.12,690-694,5825,5825,36
15.31,670-674,2500,2500,36
19.91,660-664,7200,7200,60
14.33,670-674,8000,8000,36
20.77,665-669,25000,24675,60
14.09,665-669,2500,2500,36
12.84,750-754,20000,2050,36
13.11,720-724,6250,6250,36
13.67,680-684,12375,12375,36
10.16,685-689,18000,18000,36
6.99,760-764,3300,3300,36
18.49,700-704,21000,21000,60
16.29,695-699,24575,24575,36
7.74,750-754,5000,4900,36
16.29,680-684,20000,20000,36
6.62,750-754,13250,13250,36
8.59,790-794,10000,9975,36
10.75,740-744,20000,19950,36
8.49,715-719,10000,10000,36
12.12,710-714,12000,12000,36
7.9,725-729,8000,7950,36
8.94,760-764,11000,10950,36
7.49,730-734,12500,12425,36
11.03,685-689,7500,0,36
10.16,705-709,4825,4825,36
16.89,670-674,7550,7550,36
14.35,675-679,8000,7827.03,36
14.09,670-674,6000,6000,36
15.57,700-704,8000,8000,60
14.59,665-669,3000,3000,36
16.29,665-669,8000,7997.79,36
5.99,750-754,8400,8400,36
14.65,720-724,35000,35000,36
7.9,730-734,15000,15000,36
10.99,800-804,7500,7475,36
9.62,805-809,24000,23665.54,60
20.5,680-684,21000,20975,60
7.62,730-734,6000,6000,36
6.91,725-729,4500,4500,36
17.77,695-699,29000,29000,36
15.31,690-694,20000,20000,36
10.16,695-699,7000,7000,36
10.36,715-719,5000,4950,36
17.27,665-669,6000,6000,36
15.27,670-674,10000,10000,36
17.49,665-669,3200,3200,36
17.77,685-689,23000,23000,36
11.54,670-674,5000,1750.04,36
12.69,715-719,3000,3000,36
10.74,715-719,12000,11975,60
13.99,720-724,20000,19975,60
15.8,665-669,1200,1200,36
6.62,780-784,8000,8000,36
16.49,705-709,10000,9975,60
13.06,690-694,11000,11000,36
16.29,670-674,18000,18000,36
17.49,705-709,24000,23975,60
18.75,675-679,8000,7925,60
11.71,685-689,6000,6000,36
17.27,675-679,35000,34950,36
10.36,730-734,1000,750,36
15.31,680-684,10000,10000,36
15.8,670-674,6000,6000,36
6.03,750-754,4000,4000,36
11.71,745-749,20000,20000,60
14.12,655-659,3500,690.34,36
19.99,690-694,24000,24000,60
14.09,690-694,8000,8000,36
6.62,775-779,12000,12000,36
8.9,750-754,17600,17600,36
12.92,665-669,5000,512.46,36
18.67,660-664,8000,8000,60
9.88,730-734,10000,9850,36
6.62,800-804,16800,16800,36
10.38,755-759,6500,6450,60
7.9,790-794,35000,35000,36
14.33,685-689,9950,9950,36
9.91,750-754,5000,5000,36
19.05,695-699,10000,10000,60
13.11,685-689,6000,6000,36
7.9,770-774,35000,35000,36
7.9,705-709,5600,5600,36
7.9,795-799,17000,17000,36
12.99,715-719,15000,15000,60
11.14,685-689,3000,3000,36
17.77,665-669,12000,12000,36
14.27,705-709,25000,25000,36
20.49,660-664,31075,31050,36
14.33,740-744,4750,4750,60
11.71,680-684,6400,6375,36
9.91,730-734,25000,25000,36
6.03,785-789,5000,4975,36
11.99,755-759,12000,12000,60
19.72,665-669,20000,20000,36
15.96,665-669,10000,10000,36
20.49,660-664,9750,9750,36
14.09,685-689,10000,10000,36
10.46,680-684,3000,2057.84,36
19.72,700-704,25000,25000,60
14.22,670-674,5000,5000,36
5.79,730-734,6500,6500,36
15.31,670-674,8325,8325,36
15.31,710-714,20000,20000,60
12.12,710-714,12000,12000,36
10.38,755-759,9500,9475,60
5.79,780-784,12000,11862.38,60
11.49,715-719,7200,7200,60
10.16,710-714,8500,8500,36
19.05,685-689,17475,17475,60
12.12,690-694,10000,10000,36
22.47,660-664,18000,17975,60
5.42,785-789,4800,4775,36
7.9,720-724,5000,5000,36
12.12,720-724,20000,19925,36
15.31,710-714,12300,12300,36
22.78,675-679,28000,27950,60
11.11,690-694,1675,1675,36
17.04,685-689,7500,7500,36
12.61,675-679,9200,9200,36
15.8,675-679,8000,8000,36
10.99,690-694,5000,5000,36
18.25,690-694,19125,19125,60
5.99,790-794,5075,5050,36
9.62,710-714,7000,6975,36
12.12,675-679,5000,5000,36
13.49,760-764,35000,33500,60
14.65,670-674,2225,2225,36
10.16,715-719,4000,4000,36
7.9,740-744,16000,16000,36
17.77,675-679,15500,15500,36
13.11,695-699,16000,16000,60
13.06,710-714,9000,9000,60
16.49,710-714,20000,18275,60
18.17,685-689,20000,19900,60
22.78,690-694,30000,30000,60
10.59,735-739,10000,10000,36
19.05,660-664,14000,14000,36
15.31,710-714,18000,18000,60
6.62,740-744,10000,10000,36
13.11,735-739,25975,25975,60
14.09,690-694,10350,10350,36
17.77,660-664,10850,10850,36
5.42,770-774,4075,4075,36
10.75,755-759,14500,10168.89,60
10.16,710-714,12000,12000,36
22.95,665-669,1000,1000,36
13.11,700-704,5900,5900,36
13.11,705-709,9950,9925,36
6.03,790-794,7200,7200,36
16.77,685-689,14750,14750,60
16.7,690-694,5000,4975,36
14.91,715-719,20000,20000,36
19.42,705-709,18400,18375,60
14.11,700-704,7200,4167.97,36
13.99,725-729,18000,17994.17,60
12.12,690-694,8000,8000,36
8.9,720-724,4000,4000,36
13.11,690-694,6000,6000,36
10.25,720-724,6250,6100,36
14.09,685-689,5375,5375,36
15.31,665-669,8875,8875,36
10.65,700-704,7000,7000,36
15.31,680-684,12000,12000,36
18.75,670-674,21250,21250,36
19.72,680-684,3600,3600,60
14.33,670-674,12000,12000,36
14.33,690-694,10050,10050,36
8.9,700-704,4025,4025,36
6.62,780-784,5000,5000,36
11.71,775-779,16500,16400,60
7.29,735-739,10000,10000,36
12.29,685-689,7500,-0.01,36
6.03,755-759,10000,10000,36
8.9,715-719,10000,10000,36
7.9,730-734,18000,18000,36
16.29,680-684,7000,7000,36
22.47,670-674,22000,21975,60
13.11,685-689,6000,6000,36
6.62,750-754,5600,5600,36
12.12,705-709,9500,9500,36
13.11,680-684,12000,12000,36
10.37,675-679,7200,7200,36
15.8,665-669,5000,5000,36
15.96,695-699,8250,8086.75,60
22.47,690-694,30000,30000,60
15.81,700-704,10075,10075,60
13.11,700-704,9050,9050,36
10.16,700-704,17500,17500,36
6.91,730-734,10000,5334.01,36
8.9,715-719,10000,10000,36
15.8,690-694,8500,8500,36
14.65,675-679,16000,15975,36
14.09,725-729,2350,2350,36
7.29,730-734,10000,9924.07,36
15.8,735-739,25000,24975,60
14.33,685-689,8000,8000,36
13.11,670-674,6000,6000,36
13.11,685-689,4000,4000,36
11.14,715-719,11500,11500,36
9.91,705-709,12000,12000,36
16.49,690-694,15250,13914.17,60
12.68,695-699,5000,5000,36
7.9,715-719,6000,6000,36
16.29,710-714,18225,18225,60
10.38,735-739,15000,15000,36
5.79,760-764,4000,3882.78,36
12.12,715-719,27000,27000,60
13.85,705-709,15000,14925,36
10.16,725-729,4950,4950,36
10,730-734,21000,20925,36
15.31,675-679,9000,9000,36
18.75,695-699,21000,21000,60
19.05,660-664,8000,8000,36
6.91,760-764,23000,21457.14,60
14.65,680-684,10000,10000,36
9.99,730-734,5000,4947.35,60
10.16,730-734,5350,5350,36
12.42,705-709,10000,10000,36
10.16,720-724,24000,23975,36
7.9,705-709,24000,24000,36
14.09,685-689,15475,15450,36
21,670-674,25000,25000,36
9.91,730-734,13000,12975,36
7.62,730-734,7550,7550,36
15.31,685-689,9600,9600,36
15.21,700-704,15000,14950,60
14.11,675-679,7000,6975,36
15.31,665-669,1000,1000,36
12.87,720-724,25000,24798.43,36
14.33,725-729,24000,24000,36
18.49,700-704,21000,21000,60
13.11,670-674,1000,1000,36
9.63,780-784,16000,16000,60
17.27,725-729,24400,24400,60
7.9,720-724,14675,14675,36
19.05,660-664,12000,12000,36
13.11,700-704,8000,8000,36
13.11,685-689,12000,12000,36
10.99,730-734,16800,10075,60
14.33,680-684,14500,14500,36
16.63,680-684,25000,3925,36
13.11,740-744,28625,28625,60
22.95,670-674,21000,21000,60
9.76,780-784,7500,7500,60
10.38,730-734,11875,11775,36
13.67,690-694,3600,3600,36
15.31,695-699,16000,16000,36
23.28,660-664,20500,20500,60
18.25,665-669,10000,10000,36
17.49,695-699,15000,15000,60
11.99,680-684,10000,10000,36
11.71,685-689,11000,11000,36
19.05,690-694,25000,25000,60
10.16,675-679,15000,15000,36
14.09,665-669,5600,5600,36
11.71,720-724,20000,20000,36
19.72,665-669,25450,25450,60
11.12,715-719,7000,7000,36
12.12,690-694,10400,10400,36
14.84,705-709,25000,24975,36
11.97,705-709,20000,13000,36
17.43,675-679,16000,15800,60
7.9,725-729,15000,15000,36
19.72,675-679,24625,24625,60
13.11,690-694,21850,21850,36
15.31,670-674,6000,6000,36
16,725-729,6700,6636.91,36
12.21,700-704,10000,9225.43,36
15.31,670-674,5775,5775,36
15.27,680-684,14475,14475,36
17.27,670-674,8000,8000,36
12.12,700-704,15000,15000,36
17.77,680-684,10000,10000,36
13.49,690-694,5600,5600,36
16.32,685-689,10000,10000,60
14.09,675-679,13000,13000,36
9.99,745-749,15000,10825,60
12.12,680-684,2100,2100,36
12.12,685-689,12000,12000,36
13.16,670-674,1000,1000,36
14.09,735-739,16000,16000,60
7.9,730-734,14000,14000,36
10.16,690-694,14000,14000,36
12.21,725-729,20000,3850,36
11.14,760-764,17000,15865.55,36
10.74,745-749,7350,7350,60
10.25,775-779,10000,9500,36
11.36,710-714,20000,19796.41,36
7.14,760-764,7000,7000,36
12.12,715-719,6000,6000,60
10,715-719,12000,12000,36
6.03,750-754,4225,4225,36
12.29,700-704,14700,1973.77,36
6.76,755-759,2500,2500,36
14.84,670-674,4800,4775,36
15.96,665-669,6000,6000,36
6.03,750-754,6000,6000,36
15.31,670-674,1800,1800,36
15.8,675-679,7200,7200,36
12.12,680-684,6000,6000,36
11.14,670-674,15300,14850,36
9.32,775-779,5000,5000,36
17.77,665-669,10500,10500,36
17.77,660-664,6625,6625,36
22.47,665-669,16000,16000,60
16.29,675-679,22000,22000,60
15.21,680-684,5000,5000,60
8.9,680-684,20000,20000,36
13.06,670-674,1500,1500,36
7.49,730-734,8000,8000,36
16.29,705-709,18225,18225,60
7.62,740-744,5000,5000,36
13.99,685-689,10000,10000,36
17.77,670-674,8000,8000,36
10.75,720-724,6000,6000,36
18.62,685-689,24250,24225,60
12.69,675-679,8700,8700,36
14.65,725-729,20400,20375,60
6.62,740-744,9000,9000,36
11.14,715-719,16100,16100,36
21,670-674,35000,35000,36
7.66,700-704,4600,4600,36
14.18,685-689,14400,5325,36
11.14,685-689,5000,5000,36
19.05,660-664,5500,5500,36
13.98,720-724,25000,15800,60
14.09,670-674,5000,5000,36
14.65,710-714,10000,10000,36
11.89,740-744,20000,13975,36
17.14,680-684,10000,10000,36
9.76,740-744,17000,17000,36
22.47,665-669,25000,25000,60
7.9,710-714,5000,5000,36
13.11,685-689,6000,6000,36
17.27,670-674,8000,8000,36
14.09,695-699,12000,12000,36
8.94,720-724,3000,3000,36
6.17,770-774,5000,5000,60
10.16,705-709,3200,3200,36
18.49,670-674,7625,7625,36
22.11,690-694,3000,3000,60
11.49,730-734,5000,5000,36
12.99,685-689,18500,18500,36
14.09,690-694,18000,18000,36
10.59,695-699,4200,4200,36
7.29,725-729,5000,4975,36
11.71,730-734,19000,19000,60
16.77,675-679,15000,15000,36
19.72,680-684,18625,18625,60
7.62,720-724,6075,6075,36
15.31,690-694,12500,12500,36
15.31,665-669,5000,5000,36
12.12,690-694,10000,10000,36
16.77,660-664,8000,8000,36
15.81,680-684,20000,19975,36
13.49,685-689,9600,9600,36
9.76,695-699,3600,3600,36
18.75,690-694,14075,14075,36
7.51,735-739,3000,3000,36
10.16,760-764,35000,34975,36
6.99,750-754,1700,1700,36
7.51,790-794,8800,8800,36
12.18,740-744,24250,23985.41,36
11.14,720-724,10750,10166.42,36
15.96,660-664,6000,6000,36
10.16,700-704,15000,15000,36
14.33,700-704,15000,15000,36
13.11,680-684,10000,10000,36
12.12,690-694,5950,5950,36
10.99,700-704,10000,10000,36
15.23,670-674,4000,4000,36
7.88,780-784,15000,14675,36
15.31,665-669,10000,9850,36
13.11,700-704,8875,8875,36
10.74,705-709,2400,2400,36
20.53,675-679,25000,24950,60
16.07,685-689,5500,5500,36
12.53,685-689,6000,6000,36
19.05,690-694,18000,18000,60
7.9,800-804,28000,27975,36
16.29,725-729,32000,32000,60
13.11,690-694,6000,6000,36
8.9,750-754,7200,7200,60
11.14,700-704,11500,11500,36
5.42,790-794,4800,4800,36
10.65,685-689,4000,4000,36
10.65,720-724,15000,15000,36
17.99,675-679,15000,15000,36
12.42,705-709,25000,25000,36
18.75,680-684,4800,4800,60
6.62,735-739,9500,9500,36
12.53,705-709,15000,6200,36
13.98,675-679,6000,6000,36
6.03,740-744,12300,12300,36
7.51,755-759,24000,23950,36
11.12,705-709,2000,1975,36
9.76,710-714,14000,14000,36
12.12,700-704,10000,10000,36
9.63,785-789,13000,8113.74,36
16.29,690-694,5000,5000,60
12.42,670-674,6000,5994,36
14.33,710-714,10050,10050,36
7.9,720-724,4800,4800,36
10.74,700-704,14400,14400,36
15.31,695-699,11625,11625,36
10.16,720-724,18200,18200,36
13.35,710-714,20000,19875,36
17.27,695-699,9600,9575,60
11.83,715-719,9000,9000,36
18.25,725-729,35000,35000,60
7.51,735-739,1900,1900,36
13.67,710-714,20000,19896.51,36
10.37,675-679,2400,2400,36
11.71,675-679,4500,4500,36
12.12,710-714,12000,12000,36
8.63,730-734,10000,8175.26,36
7.9,730-734,11575,11575,36
6.62,720-724,20000,20000,36
14.7,640-644,6000,3475,36
10,700-704,2800,2800,36
14.09,680-684,6000,6000,36
6.91,735-739,20000,14750,36
13.99,720-724,22000,22000,60
13.11,675-679,10000,10000,36
12.12,690-694,9450,9450,36
7.66,725-729,10400,10325,36
15.28,720-724,15875,15818.07,60
12.12,730-734,18000,18000,60
8.9,710-714,8000,8000,36
14.33,760-764,12000,12000,36
6.54,795-799,20000,12150,60
16.77,660-664,10000,10000,36
19.03,680-684,24500,23475,60
12.12,695-699,10000,10000,36
7.9,735-739,3600,3600,36
17.49,670-674,12000,12000,60
10.74,685-689,6950,6950,36
10.16,705-709,8525,8525,36
14.33,690-694,5000,5000,36
18.25,695-699,4800,4800,60
13.35,665-669,6000,6000,36
19.22,680-684,4000,4000,60
6.03,745-749,14000,14000,36
14.65,685-689,23500,23450,36
15.95,665-669,2500,2500,36
6.17,745-749,2000,2000,36
16.29,675-679,24000,23925,60
11.49,725-729,12800,12800,60
7.9,725-729,8000,8000,36
9.99,710-714,3000,3000,36
7.9,725-729,7000,7000,36
13.48,690-694,18000,17975,36
14.11,670-674,9000,5975,36
10.99,695-699,11000,11000,36
7.9,720-724,6000,6000,36
7.74,785-789,6500,6475,36
18.49,675-679,19500,19500,36
17.27,695-699,16000,16000,60
14.33,685-689,18000,17950,60
23.33,665-669,30000,29975,60
14.09,660-664,10000,10000,36
15.58,700-704,16000,15900,60
17.58,690-694,35000,35000,36
13.72,665-669,8000,8000,36
13.11,700-704,14500,14500,36
10.62,720-724,12000,11925,36
13.43,670-674,4500,4500,36
11.83,725-729,16500,16350,36
9.91,705-709,10000,10000,36
19.05,690-694,35000,35000,60
11.09,745-749,21000,6165.31,36
15.45,640-644,8400,6725,36
7.9,705-709,6000,6000,36
19.22,665-669,12000,12000,36
16.89,665-669,12100,12100,36
14.09,675-679,25000,25000,36
6.03,780-784,16000,15925,36
18.25,690-694,27000,27000,36
18.75,665-669,12250,12250,36
17.77,665-669,10000,10000,36
13.67,675-679,9175,9175,36
15.31,680-684,14075,14075,36
18.55,660-664,13100,13100,36
8.9,715-719,14675,14675,36
11.14,710-714,5000,4900,36
13.11,670-674,18000,18000,36
7.62,775-779,12000,12000,36
14.33,680-684,19400,19400,36
12.12,665-669,18000,18000,36
17.77,665-669,12000,12000,36
13.11,675-679,8000,8000,36
19.72,710-714,23750,23750,60
15.58,695-699,7500,7475,36
12.69,680-684,5500,5500,36
17.27,710-714,16950,16950,60
11.14,715-719,3000,2950,36
13.49,670-674,1600,1600,36
7.49,715-719,6000,6000,36
12.12,695-699,7350,7350,36
17.77,670-674,12825,12825,36
21,685-689,24000,23975,60
18.49,695-699,10000,10000,60
14.33,675-679,5500,5500,36
14.72,695-699,17500,17500,36
13.11,680-684,10000,10000,36
6.17,770-774,20000,16275,36
6.99,735-739,11600,11600,36
13.99,715-719,12000,12000,60
11.26,720-724,13000,6770.1,36
17.27,665-669,8575,8550,36
14.09,685-689,6100,6100,36
15.31,680-684,14000,14000,36
14.33,670-674,10500,10500,36
21.49,675-679,19600,19525,60
15.8,670-674,15000,15000,36
17.27,725-729,8000,8000,36
21.49,660-664,20000,20000,36
12.53,700-704,11000,10969.64,36
17.9,675-679,6000,5905.66,36
11.14,705-709,12000,12000,36
13.11,690-694,17000,17000,36
7.9,720-724,6250,6250,36
23.76,665-669,27825,27825,60
15.31,680-684,30000,30000,36
14.11,675-679,4200,3969.9,36
21.98,680-684,3800,3800,36
15.31,670-674,2000,2000,36
14.09,680-684,6000,6000,36
19.05,685-689,21000,21000,60
13.49,680-684,2500,2500,36
16.77,690-694,2400,2400,36
10.74,720-724,13000,13000,36
14.65,665-669,4800,4800,36
9.91,730-734,17475,17475,36
21.97,670-674,16450,16400,60
14.65,680-684,14000,14000,36
17.27,665-669,2500,2500,36
18.49,660-664,8000,8000,36
12.53,705-709,5000,5000,36
13.11,690-694,15000,15000,36
12.69,720-724,25000,24814.89,60
8.9,700-704,3000,2975,36
7.9,705-709,6000,6000,36
10.65,720-724,7800,7800,36
7.9,710-714,25000,25000,36
15.33,660-664,18500,3100,36
12.99,710-714,12000,12000,60
15.99,665-669,5000,5000,36
10.59,745-749,2500,2500,60
16.29,710-714,16000,16000,60
15.31,745-749,25000,25000,60
16.89,660-664,2000,2000,36
10.16,730-734,2200,2200,36
10.25,730-734,14000,13825,36
13.11,670-674,3000,3000,36
9.91,730-734,11425,11400,36
17.27,705-709,17325,17325,60
8.49,730-734,5425,5425,36
22.78,665-669,20000,20000,60
11.71,700-704,3300,3300,36
17.27,670-674,2000,2000,36
13.11,745-749,26500,26500,36
18.55,670-674,17975,17975,36
13.47,700-704,15000,14925.21,36
13.99,725-729,16400,16350,60
13.99,700-704,13500,13500,60
15.27,670-674,12000,12000,36
21.48,665-669,16750,16750,60
12.18,745-749,8000,8000,36
9.76,710-714,10000,10000,36
15.21,670-674,10000,10000,36
13.85,720-724,5525,5525,36
19.69,705-709,17200,17200,60
16.29,680-684,19600,19575,36
11.48,715-719,4000,4000,36
13.11,735-739,13000,13000,36
9.63,790-794,8000,7850,36
10.08,755-759,25000,5640.7,36
10.25,750-754,20000,19900,36
17.27,680-684,27575,27575,60
14.33,670-674,24000,24000,36
18.49,660-664,7000,7000,36
16.77,685-689,12000,11975,60
19.03,670-674,14000,14000,60
11.14,725-729,10000,9975,36
6.03,780-784,7750,7750,36
13.67,690-694,15000,11550,36
11.86,705-709,15000,14950,36
15.31,685-689,25000,25000,36
14.91,720-724,15000,14975,60
16.29,660-664,5000,5000,36
12.98,665-669,5000,5000,36
15.31,680-684,35000,35000,36
15.37,675-679,7500,6025,36
10.36,765-769,25000,15675,60
11.12,700-704,3800,3800,36
8.9,700-704,2800,2800,36
7.49,730-734,6250,6250,36
9.91,725-729,18000,17994.46,36
17.27,660-664,6000,6000,36
14.09,710-714,20000,20000,36
11.14,700-704,8000,8000,36
6.62,790-794,12000,12000,36
11.12,775-779,24000,7100,60
11.49,690-694,3000,2925,36
6.99,745-749,5000,5000,36
13.99,730-734,21850,21800,60
23.28,675-679,21850,21850,60
13.47,690-694,10000,7586.93,36
15.68,680-684,15000,10150.07,36
7.29,740-744,9600,9600,36
20.5,670-674,25000,24975,36
11.49,780-784,25000,14401.65,60
7.9,810-814,30000,29950,36
16.89,700-704,20000,20000,60
13.67,695-699,14825,14825,36
17.27,670-674,8000,8000,36
11.71,720-724,20000,20000,36
7.9,765-769,7000,7000,36
10.62,760-764,20000,19900,36
11.03,680-684,5000,4500,36
13.11,675-679,17625,17600,36
13.11,685-689,7150,7150,36
10.36,720-724,25000,24775,36
14.33,675-679,15000,15000,36
6.62,765-769,9000,9000,36
16.35,665-669,17600,17600,36
12.68,690-694,10000,10000,36
15.2,675-679,11200,11000,60
15.31,680-684,13225,13225,36
11.14,700-704,4000,4000,36
10.99,720-724,12000,11975,36
19.05,735-739,35000,35000,36
14.59,705-709,25000,17250,36
6.03,750-754,9000,9000,36
12.12,700-704,18225,18225,36
